PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
LRIP5,GL121100-814H,AF19 GL12 FLT ACCEPT TST SECT 1100,,W,HEX,LGL121100,HEX,814H,201102,0.00,0.00,0.00,15.50,0.00,0.00,0.00,0.00,0.00,0.00,2267.26,0006,,L
LRIP5,GL121100-814H,AF19 GL12 FLT ACCEPT TST SECT 1100,,W,HEX,LGL121100,HEX,814H,201103,0.00,0.00,0.00,20.50,0.00,0.00,0.00,0.00,0.00,0.00,2998.64,0006,,L
LRIP5,GL121100-814H,AF19 GL12 FLT ACCEPT TST SECT 1100,,W,HEX,LGL121100,HEX,814H,201104,0.00,0.00,0.00,20.50,0.00,0.00,0.00,0.00,0.00,0.00,2971.94,0006,,L
LRIP5,GL121100-814H,AF19 GL12 FLT ACCEPT TST SECT 1100,,W,HEX,LGL121100,HEX,814H,201105,0.00,0.00,0.00,20.50,0.00,0.00,0.00,0.00,0.00,0.00,2971.94,0006,,L
LRIP5,GL121100-814H,AF19 GL12 FLT ACCEPT TST SECT 1100,,W,HEX,LGL121100,HEX,814H,201106,0.00,0.00,0.00,20.50,0.00,0.00,0.00,0.00,0.00,0.00,2920.45,0006,,L
LRIP5,GL121100-814H,AF19 GL12 FLT ACCEPT TST SECT 1100,,W,HEX,LGL121100,HEX,814H,201107,0.00,0.00,0.00,20.50,0.00,0.00,0.00,0.00,0.00,0.00,2920.45,0006,,L
LRIP5,GL121100-814H,AF19 GL12 FLT ACCEPT TST SECT 1100,,W,HEX,LGL121100,HEX,814H,201203,0.00,0.00,0.00,20.50,0.00,0.00,0.00,0.00,0.00,0.00,3312.12,0006,,L
LRIP5,GL121100-818H000V,A&E Support to ATP - AF 19,,W,HEX,LGL121100,HEX,818H,201102,0.00,-5.00,0.00,0.00,0.00,0.00,-338.00,0.00,0.00,-893.20,0.00,0006,,L
LRIP5,GL121100-819H000A,AF19 GL12 FLT ACCEPT TST SECT 1100,,W,HJA,LGL121100,HJX,819H,201103,0.00,0.00,29.70,0.00,0.00,1626.08,0.00,0.00,4416.16,0.00,0.00,0006,,L
LRIP5,GL121100-819H000B,AF19 GL12 FLT ACCEPT TST SECT 1100,,W,HJC,LGL121100,HJX,819H,201103,0.00,0.00,9.23,0.00,0.00,501.06,0.00,0.00,1360.79,0.00,0.00,0006,,L
