PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
LRIPOC,C8MX33AA-9G070030,FLIGHT TEST ACT - RB,LOT 8,W,HHX,LC8MX33AA,HHX,9G07,201112,157.60,71.50,157.60,71.50,7478.12,7478.12,4185.21,20482.24,20482.24,11059.82,8750.32,,0033AA,L
LRIPOC,C8MX33AA-9G070030,FLIGHT TEST ACT - RB,LOT 8,W,HHX,LC8MX33AA,HHX,9G07,201201,0.00,0.00,0.00,86.10,0.00,0.00,0.00,0.00,0.00,0.00,13030.24,,0033AA,L
LRIPOC,C8MX33AB-4A1G0030,"Ferry Flight AF-33/34, Flight supervision, Unsched Maint, Fuel, and repair",L8 S/U M,W,HHX,LC8MX33AB,HHX,04A1G,201112,270.00,46.50,0.00,46.50,9393.30,0.00,1764.97,35696.42,0.00,6261.55,5417.46,,0033AB,L
LRIPOC,C8MX33AB-4A1G0030,"Ferry Flight AF-33/34, Flight supervision, Unsched Maint, Fuel, and repair",L8 S/U M,W,HHX,LC8MX33AB,HHX,04A1G,201201,0.00,66.50,0.00,223.50,0.00,0.00,2316.25,0.00,0.00,8473.73,27523.09,,0033AB,L
LRIPOC,C8MX33AB-4D310030,EVMS planning PMC Lot 8,L8 S/U M,W,HHX,LC8MX33AB,HHX,04D31,201112,20.48,0.50,0.00,0.48,989.80,0.00,17.01,3761.43,0.00,60.35,75.63,,0033AB,L
LRIPOC,C8MX33AB-4D310030,EVMS planning PMC Lot 8,L8 S/U M,W,HHX,LC8MX33AB,HHX,04D31,201201,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,3681.34,,0033AB,L
LRIPOC,C8MX33AB-4J3G0030,IE support to AF-33 (1) Unsched. Maint. & AF-34,L8 S/U M,W,HHX,LC8MX33AB,HHX,04J3G,201112,3.73,0.00,0.00,0.00,180.27,0.00,0.00,685.07,0.00,0.00,0.00,,0033AB,L
LRIPOC,C8MX33AB-4J3G0030,IE support to AF-33 (1) Unsched. Maint. & AF-34,L8 S/U M,W,HHX,LC8MX33AB,HHX,04J3G,201201,0.00,0.00,0.00,3.73,0.00,0.00,0.00,0.00,0.00,0.00,686.57,,0033AB,L
LRIPOC,C8MX33AB-4J4G0030,ME support to AF-33 (1) Unsched. Maint. & AF-34,L8 S/U M,W,HHX,LC8MX33AB,HHX,04J4G,201112,8.37,0.00,0.00,0.00,380.17,0.00,0.00,1444.70,0.00,0.00,0.00,,0033AB,L
LRIPOC,C8MX33AB-4J4G0030,ME support to AF-33 (1) Unsched. Maint. & AF-34,L8 S/U M,W,HHX,LC8MX33AB,HHX,04J4G,201201,0.00,0.00,0.00,8.37,0.00,0.00,0.00,0.00,0.00,0.00,1540.64,,0033AB,L
LRIPOC,C8MX33AB-811H0030,AV IPT Analysis & Int. Anom Inv AF33 & 34,L8 S/U M,W,HBX,LC8MX33AB,HBX,0811H,201201,5.30,0.00,5.30,5.30,303.90,303.90,0.00,856.30,856.30,0.00,856.30,,0033AB,L
