PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CA Clin,E
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201112,0.00,1.00,0.00,0.00,0.00,0.00,24.96,0.00,0.00,88.55,0.00,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201201,845.10,560.60,658.53,845.10,27558.71,21474.79,12328.83,102622.92,79967.67,45103.59,102622.92,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201202,845.10,875.40,617.59,845.10,27558.71,20139.48,18655.64,102622.92,74995.24,68249.49,102622.92,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201203,539.40,0.00,0.00,793.20,17589.83,0.00,0.00,65500.89,0.00,0.00,94628.67,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201204,301.60,0.00,0.00,301.60,9835.18,0.00,0.00,36624.15,0.00,0.00,35980.85,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201205,310.30,0.00,0.00,310.30,10118.88,0.00,0.00,37680.62,0.00,0.00,37018.76,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201206,522.90,0.00,0.00,522.90,17051.77,0.00,0.00,63497.25,0.00,0.00,62381.91,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201207,385.30,0.00,0.00,385.30,12564.63,0.00,0.00,46788.08,0.00,0.00,45966.25,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201208,330.30,0.00,0.00,330.30,10771.08,0.00,0.00,40109.28,0.00,0.00,39404.75,0003,0003,L
LRIP10,10A40HHX,AF39 Manufacturing at Moss Point and Palmdale,Block 30,C,HHX,,HHX,,201209,625.20,0.00,0.00,625.20,20387.77,0.00,0.00,75919.83,0.00,0.00,74586.29,0003,0003,L
