PROJECT,WBS ID,DESCRIPTION,ALIAS,E,Type,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
EHSS,212FF2-H0PM,PROGRAM MGMT - AV TIER4,BASIC,C,CPFF,LEH212FF2,H00,,201203,155.00,56.30,155.00,155.00,8768.35,8768.35,3307.24,24706.54,24706.54,9219.16,24442.37,2,BASIC,L
EHSS,232002-3D82,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,3D82,201101,7.00,6.50,7.00,0.00,334.60,334.60,268.21,1272.40,1272.40,946.90,0.00,2,BASIC,L
EHSS,232002-3D82,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,3D82,201102,7.00,11.00,7.00,0.00,334.60,334.60,489.90,1272.40,1272.40,1729.56,0.00,2,BASIC,L
EHSS,232002-3D82,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,3D82,201103,7.00,16.00,7.00,0.00,334.60,334.60,739.80,1272.40,1272.40,2611.82,0.00,2,BASIC,L
EHSS,232002-3D82,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,3D82,201104,7.00,4.00,7.00,0.00,334.60,334.60,184.56,1272.40,1272.40,651.58,0.00,2,BASIC,L
EHSS,232002-3D82,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,3D82,201105,7.00,0.50,7.00,0.00,334.60,334.60,15.10,1272.40,1272.40,53.31,0.00,2,BASIC,L
EHSS,232002-3D82,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,3D82,201106,7.00,1.00,7.00,0.00,334.60,334.60,15.00,1272.40,1272.40,52.96,0.00,2,BASIC,L
EHSS,232002-3D82,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,3D82,201107,8.00,0.50,8.00,0.00,382.40,382.40,15.10,1454.17,1454.17,53.31,0.00,2,BASIC,L
EHSS,232002-3D82,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,3D82,201108,8.00,0.00,8.00,0.00,382.40,382.40,0.00,1454.17,1454.17,0.00,0.00,2,BASIC,L
EHSS,232002-3D82,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,3D82,201109,10.00,15.50,10.00,0.00,478.00,478.00,467.97,1817.71,1817.71,1652.14,0.00,2,BASIC,L
EHSS,232002-3D82,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,3D82,201110,8.00,4.00,8.00,0.00,382.40,382.40,120.78,1454.17,1454.17,426.41,0.00,2,BASIC,L
EHSS,232002-3D82,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,3D82,201111,8.00,12.40,8.00,0.00,382.40,382.40,372.45,1454.17,1454.17,1314.91,0.00,2,BASIC,L
EHSS,232002-3D82,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,3D82,201112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,BASIC,L
EHSS,232002-810H,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,810H,201102,74.00,10.50,74.00,0.00,4028.56,4028.56,520.70,11018.07,11018.07,1379.31,0.00,2,BASIC,L
EHSS,232002-810H,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,810H,201103,590.00,644.30,590.00,0.00,32119.60,32119.60,31367.50,87846.74,87846.74,83091.33,0.00,2,BASIC,L
EHSS,232002-810H,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,810H,201104,74.00,41.00,74.00,0.00,4028.56,4028.56,2411.93,11018.07,11018.07,6389.11,0.00,2,BASIC,L
EHSS,232002-810H,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,810H,201105,74.00,58.40,74.00,0.00,4028.56,4028.56,3816.72,11018.07,11018.07,10110.35,0.00,2,BASIC,L
EHSS,232002-810H,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,810H,201106,74.00,-9.00,74.00,0.00,4028.56,4028.56,-672.00,11018.07,11018.07,-1780.10,0.00,2,BASIC,L
EHSS,232002-810H,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,810H,201107,64.00,11.30,64.00,0.00,3484.16,3484.16,610.15,9529.14,9529.14,1616.26,0.00,2,BASIC,L
EHSS,232002-810H,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,810H,201108,64.00,17.00,64.00,0.00,3484.16,3484.16,878.10,9529.14,9529.14,2326.05,0.00,2,BASIC,L
EHSS,232002-810H,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,810H,201109,80.00,62.40,80.00,0.00,4355.20,4355.20,3534.14,11911.42,11911.42,9361.80,0.00,2,BASIC,L
EHSS,232002-810H,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,810H,201110,64.00,36.80,64.00,0.00,3484.16,3484.16,1871.17,9529.14,9529.14,4956.66,0.00,2,BASIC,L
EHSS,232002-810H,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232002,H00,810H,201111,64.00,11.00,64.00,0.00,3484.16,3484.16,718.93,9529.14,9529.14,1904.42,0.00,2,BASIC,L
EHSS,2320B2-H000,BAF - QA/CM/SEC IMPACT,EMI/EMC Testing,C,CPFF,LEH2320B2,H00,3D82,201112,4.00,14.00,4.00,0.00,191.20,191.20,422.68,727.08,727.08,1492.25,0.00,2,EMI/EMC Testing,L
EHSS,2320B2-H000,BAF - QA/CM/SEC IMPACT,EMI/EMC Testing,C,CPFF,LEH2320B2,H00,3D82,201201,4.00,2.50,4.00,0.00,197.72,197.72,110.06,736.27,736.27,306.80,0.00,2,EMI/EMC Testing,L
EHSS,2320B2-H000,BAF - QA/CM/SEC IMPACT,EMI/EMC Testing,C,CPFF,LEH2320B2,H00,3D82,201202,5.00,9.00,5.00,0.00,247.15,247.15,271.72,920.34,920.34,994.06,0.00,2,EMI/EMC Testing,L
EHSS,2320B2-H0CR,BAF - QA/CM/SEC IMPACT,EMI/EMC Testing,C,CPFF,LEH2320B2,H00,810H,201112,21.00,63.90,21.00,0.00,1143.24,1143.24,4027.51,3126.75,3126.75,10668.72,0.00,2,EMI/EMC Testing,L
EHSS,2320B2-H0CR,BAF - QA/CM/SEC IMPACT,EMI/EMC Testing,C,CPFF,LEH2320B2,H00,810H,201201,22.00,25.00,22.00,0.00,1261.48,1261.48,1146.13,3554.47,3554.47,3194.92,0.00,2,EMI/EMC Testing,L
EHSS,2320B2-H0CR,BAF - QA/CM/SEC IMPACT,EMI/EMC Testing,C,CPFF,LEH2320B2,H00,810H,201202,22.00,6.50,22.00,0.00,1261.48,1261.48,350.97,3554.47,3554.47,978.35,0.00,2,EMI/EMC Testing,L
EHSS,232FF2-H000,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232FF2,H00,,201203,10.00,9.00,10.00,10.00,486.20,486.20,278.28,1810.51,1810.51,1018.05,1778.71,2,BASIC,L
EHSS,232FF2-H0CR,Air Vehicle support to Change Mgmnt,BASIC,C,CPFF,LEH232FF2,H00,,201203,45.00,7.10,45.00,45.00,2545.65,2545.65,474.53,7172.87,7172.87,1322.78,7096.17,2,BASIC,L
EHSS,242200-813H,COMPOSITES M&P,BASIC,C,FFP,LEH242200,HDX,813H,201106,-0.01,0.00,0.00,0.00,-0.51,0.00,0.00,-1.34,0.00,0.00,0.00,1,BASIC,L
EHSS,242200-813H00F2,STRUCTURAL ANALYSIS - COMPOSITE,BASIC,C,FFP,LEH242200,HDX,813H,201106,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-210.94,0.00,0.00,0.00,1,BASIC,L
EHSS,242300-3J45,REWORK,BASIC,C,FFP,LEH242300,H00,3J45,201106,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.12,0.00,0.00,0.00,1,BASIC,L
EHSS,242300-810H,Rework,BASIC,C,FFP,LEH242300,H00,810H,201106,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.19,0.00,0.00,0.00,1,BASIC,L
