PROJECT,WBS ID,DESCRIPTION,ALIAS,E,XREF-7,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E,
GHBOA,100-01HJX1,HALE AV FLIGHT SCIENCES-ENG,,W,,LY101HJX1,HJX,819H,201212,5.59,0.00,0.00,11.18,320.48,0.00,0.00,903.02,0.00,0.00,1806.19,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201101,1.20,0.00,1.20,1.20,66.61,66.61,0.00,189.80,189.80,0.00,176.09,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201102,0.96,0.00,0.96,0.96,53.29,53.29,0.00,151.84,151.84,0.00,140.87,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201103,0.96,0.00,0.96,1.92,53.29,53.29,0.00,151.84,151.84,0.00,281.30,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201104,1.20,0.00,1.20,1.20,66.61,66.61,0.00,189.80,189.80,0.00,176.09,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201105,0.91,0.00,0.91,0.91,50.62,50.62,0.00,144.25,144.25,0.00,133.83,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201106,0.91,0.00,0.91,0.91,50.62,50.62,0.00,144.25,144.25,0.00,133.83,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201107,1.16,0.00,1.16,1.16,63.94,63.94,0.00,182.21,182.21,0.00,169.05,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201108,0.96,0.00,0.96,0.00,53.29,53.29,0.00,151.84,151.84,0.00,0.45,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201109,0.96,0.00,0.96,1.92,53.29,53.29,0.00,151.84,151.84,0.00,273.94,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201110,1.20,0.00,1.20,1.20,66.61,66.61,0.00,189.80,189.80,0.00,169.39,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201111,0.87,0.00,0.87,2.39,47.96,47.96,0.00,136.66,136.66,0.00,335.85,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201112,0.72,0.00,0.72,1.30,39.96,39.96,0.00,113.88,113.88,0.00,183.25,1,,L,
GHBOA,100-01HBX1,HALE AIR VEHICLE ANALYSIS & INTEGR - ENG,,W,,LY101HBX1,HBX,811H,201201,1.16,0.00,0.00,1.77,66.27,0.00,0.00,186.72,0.00,0.00,286.59,1,,L,
