PROJECT,WBS ID,DESCRIPTION,ALIAS,E,IPT,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,EOC,E
LT4,4131BZ-0819H,AV IPT Flt. Sys. MPWG Support OP1,,W,HXX,LT44131BZ,HJX,0819H,201108,23.30,37.42,23.30,0.00,1250.05,1250.05,2252.60,3377.87,3377.87,5952.71,0.00,0001,LABOR,L
LT4,4131BZ-0819H,AV IPT Flt. Sys. MPWG Support OP1,,W,HXX,LT44131BZ,HJX,0819H,201109,27.23,0.00,27.23,0.00,1460.89,1460.89,0.00,3947.61,3947.61,0.00,0.00,0001,LABOR,L
LT4,4131BZ-0819H,AV IPT Flt. Sys. MPWG Support OP1,,W,HXX,LT44131BZ,HJX,0819H,201110,-95.95,0.00,-95.95,0.00,-4717.19,-4717.19,0.00,-12810.71,-12810.71,0.00,0.00,0001,LABOR,L
LT4,4131BZ-0819H,AV IPT Flt. Sys. MPWG Support OP1,,W,HXX,LT44131BZ,HJX,0819H,201111,17.28,0.00,17.28,17.28,927.02,927.02,0.00,2505.00,2505.00,0.00,2431.38,0001,LABOR,L
LT4,4131BZ-0819H,AV IPT Flt. Sys. MPWG Support OP1,,W,HXX,LT44131BZ,HJX,0819H,201112,18.19,0.00,18.19,22.51,975.81,975.81,0.00,2636.82,2636.82,0.00,3167.23,0001,LABOR,L
LT4,4131BZ-0819H,AV IPT Flt. Sys. MPWG Support OP1,,W,HXX,LT44131BZ,HJX,0819H,201201,18.19,0.00,18.19,22.51,1042.93,1042.93,0.00,2824.77,2824.77,0.00,3636.62,0001,LABOR,L
LT4,4131BZ-0819H,AV IPT Flt. Sys. MPWG Support OP1,,W,HXX,LT44131BZ,HJX,0819H,201202,18.19,0.00,18.19,45.02,1042.93,1042.93,0.00,2824.76,2824.76,0.00,7224.64,0001,LABOR,L
LT4,4131BZ-0819H,AV IPT Flt. Sys. MPWG Support OP1,,W,HXX,LT44131BZ,HJX,0819H,201203,22.74,0.00,0.00,94.59,1303.66,0.00,0.00,3530.95,0.00,0.00,14915.46,0001,LABOR,L
LT4,413ABT,AV IPT Flt. Sys. MPWG Support OP1,,W,HXX,LT4413ABT,HJX,0819H,201110,8.00,8.00,8.00,0.00,346.88,346.88,346.88,930.21,930.21,916.66,0.00,0026,TRAVEL,L
LT4,413ABT,AV IPT Flt. Sys. MPWG Support OP1,,W,HXX,LT4413ABT,HJX,0819H,201111,0.00,-8.00,0.00,0.00,0.00,0.00,-346.88,0.00,0.00,-916.66,0.00,0026,TRAVEL,L
LT4,4210NZ-0815H,AV IPT UAV Subsystems FSR at 380th,380th,W,HXX,LT44210NZ,HEX,0815H,201104,0.00,192.00,0.00,0.00,0.00,0.00,10070.88,0.00,0.00,26613.26,0.00,0006,LABOR,L
LT4,4210NZ-0815H,AV IPT UAV Subsystems FSR at 380th,380th,W,HXX,LT44210NZ,HEX,0815H,201105,0.00,-192.00,0.00,0.00,0.00,0.00,-10070.88,0.00,0.00,-26613.26,0.00,0006,LABOR,L
LT4,4210NZ-0815H,AV IPT UAV Subsystems FSR at 380th,380th,W,HXX,LT44210NZ,HEX,0815H,201106,0.00,0.00,0.00,0.00,0.00,0.00,3040.76,0.00,0.00,8035.50,0.00,0006,LABOR,L
LT4,4210NZ-0815H,AV IPT UAV Subsystems FSR at 380th,380th,W,HXX,LT44210NZ,HEX,0815H,201110,0.00,0.00,0.00,0.00,3040.76,3040.76,0.00,8154.28,8154.28,0.00,0.00,0006,LABOR,L
LT4,4210NA-NGAii,AV IPT UAV Subsytems FSR at 380th,380th,W,HXX,LT44210NA,HEX,0815H,201201,77.55,312.00,77.55,0.00,4628.80,4628.80,12923.44,9994.02,9994.02,27111.41,0.20,0006,IWO,L
LT4,4210NA-NGAii,AV IPT UAV Subsytems FSR at 380th,380th,W,HXX,LT44210NA,HEX,0815H,201202,121.75,309.00,121.75,8.57,7267.21,7267.21,13502.66,15690.61,15690.61,28326.53,1104.07,0006,IWO,L
