PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CACLIN,E
LRIP9B,R9CBML29,Material Eng Coord-Common BL,,W,H00,LR9CBML29,H00,ML29,201103,164.50,167.00,164.50,167.00,7382.76,7382.76,5598.86,28520.68,28520.68,19862.95,28942.46,0010,,L
LRIP9B,R9CBML29,Material Eng Coord-Common BL,,W,H00,LR9CBML29,H00,ML29,201104,164.50,132.19,164.50,132.19,7382.76,7382.76,4664.30,28520.68,28520.68,16547.44,22302.16,0010,,L
LRIP9B,R9CBML29,Material Eng Coord-Common BL,,W,H00,LR9CBML29,H00,ML29,201105,164.50,115.50,164.50,115.50,7382.76,7382.76,3865.04,28520.68,28520.68,13711.92,19486.34,0010,,L
LRIP9B,R9CBML29,Material Eng Coord-Common BL,,W,H00,LR9CBML29,H00,ML29,201106,164.50,136.50,164.50,136.50,7382.76,7382.76,4586.55,28520.68,28520.68,16271.60,21625.25,0010,,L
LRIP9B,R9CBML29,Material Eng Coord-Common BL,,W,H00,LR9CBML29,H00,ML29,201107,164.50,136.00,164.50,164.50,7382.76,7382.76,4653.67,28520.68,28520.68,16509.72,26061.20,0010,,L
LRIP9B,R9CBML29,Material Eng Coord-Common BL,,W,H00,LR9CBML29,H00,ML29,201108,164.50,141.50,164.50,141.50,7382.76,7382.76,4862.48,28520.68,28520.68,17250.52,22412.88,0010,,L
LRIP9B,R9CBML29,Material Eng Coord-Common BL,,W,H00,LR9CBML29,H00,ML29,201109,164.50,175.50,164.50,164.50,7382.76,7382.76,6102.93,28520.68,28520.68,21651.23,26055.96,0010,,L
LRIP9B,R9CBML29,Material Eng Coord-Common BL,,W,H00,LR9CBML29,H00,ML29,201110,164.50,83.00,164.50,164.50,7382.76,7382.76,2996.68,28520.68,28520.68,10631.26,24531.19,0010,,L
LRIP9B,R9CBML29,Material Eng Coord-Common BL,,W,H00,LR9CBML29,H00,ML29,201111,164.50,55.50,164.50,184.50,7382.76,7382.76,2011.87,28520.68,28520.68,7137.47,27513.71,0010,,L
LRIP9B,R9CBML29,Material Eng Coord-Common BL,,W,H00,LR9CBML29,H00,ML29,201112,164.50,73.33,164.50,216.75,7382.76,7382.76,2695.69,28520.68,28520.68,9563.44,32323.02,0010,,L
LRIP9B,R9CBML29,Material Eng Coord-Common BL,,W,H00,LR9CBML29,H00,ML29,201201,164.50,69.50,164.50,268.42,5420.28,5420.28,2547.18,20183.98,20183.98,9318.56,32934.31,0010,,L
LRIP9B,R9CBML29,Material Eng Coord-Common BL,,W,H00,LR9CBML29,H00,ML29,201202,164.50,76.00,164.50,76.00,5420.28,5420.28,2863.56,20183.98,20183.98,10476.00,9420.30,0010,,L
LRIP9B,R9CBML29,Material Eng Coord-Common BL,,W,H00,LR9CBML29,H00,ML29,201203,0.00,49.80,0.00,446.90,0.00,0.00,1928.86,0.00,0.00,7056.51,53576.71,0010,,L
LRIP9B,R9CBRWKE,AV ENG Sust Rework-Common BL,,W,H00,LR9CBRWKE,H00,ENG,201103,520.00,415.90,520.00,415.90,27898.00,27898.00,18887.68,76063.03,76063.03,49912.49,60971.34,0010,,L
LRIP9B,R9CBRWKE,AV ENG Sust Rework-Common BL,,W,H00,LR9CBRWKE,H00,ENG,201104,480.00,292.30,480.00,292.30,25752.00,25752.00,12774.85,70212.02,70212.02,33758.75,42375.58,0010,,L
LRIP9B,R9CBRWKE,AV ENG Sust Rework-Common BL,,W,H00,LR9CBRWKE,H00,ENG,201105,416.00,433.30,416.00,433.30,22318.40,22318.40,19535.01,60850.42,60850.42,51623.12,62816.77,0010,,L
LRIP9B,R9CBRWKE,AV ENG Sust Rework-Common BL,,W,H00,LR9CBRWKE,H00,ENG,201106,488.00,467.19,488.00,467.19,26181.20,26181.20,20991.42,71382.22,71382.22,55471.82,66556.33,0010,,L
LRIP9B,R9CBRWKE,AV ENG Sust Rework-Common BL,,W,H00,LR9CBRWKE,H00,ENG,201107,368.00,225.10,368.00,472.10,19743.20,19743.20,11950.34,53829.22,53829.22,31579.91,67255.81,0010,,L
LRIP9B,R9CBRWKE,AV ENG Sust Rework-Common BL,,W,H00,LR9CBRWKE,H00,ENG,201108,352.00,291.60,352.00,291.60,18884.80,18884.80,13280.27,51488.82,51488.82,35094.38,41538.31,0010,,L
LRIP9B,R9CBRWKE,AV ENG Sust Rework-Common BL,,W,H00,LR9CBRWKE,H00,ENG,201109,410.00,545.70,410.00,318.00,21996.50,21996.50,27335.28,59972.77,59972.77,72236.07,45298.98,0010,,L
LRIP9B,R9CBRWKE,AV ENG Sust Rework-Common BL,,W,H00,LR9CBRWKE,H00,ENG,201110,352.00,57.00,352.00,308.46,18884.80,18884.80,2810.84,51488.82,51488.82,7427.91,43404.30,0010,,L
LRIP9B,R9CBRWKE,AV ENG Sust Rework-Common BL,,W,H00,LR9CBRWKE,H00,ENG,201111,352.00,91.50,352.00,309.00,18884.80,18884.80,4589.85,51488.82,51488.82,12129.11,43480.28,0010,,L
LRIP9B,R9CBRWKE,AV ENG Sust Rework-Common BL,,W,H00,LR9CBRWKE,H00,ENG,201112,428.00,186.60,428.00,340.79,22962.20,22962.20,9143.43,62605.72,62605.72,24162.38,47953.55,0010,,L
LRIP9B,R9CBRWKE,AV ENG Sust Rework-Common BL,,W,H00,LR9CBRWKE,H00,ENG,201201,352.00,303.30,352.00,360.33,20183.68,20183.68,15596.15,56871.47,56871.47,43475.33,58217.84,0010,,L
