PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,COMPANY,E
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201311,30.00,0.00,0.00,30.00,1786.50,0.00,0.00,5154.76,0.00,0.00,5154.76,126,,L
GSREARC,153-26HJX2,PH 1A SUBSYS ASSEM. & TEST -GS INT TEST,PH1A,W,HJX,LGS26HJX3,HJX,0819H,201312,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126,,L
GSREARC,41100A-819H000D,SYS ENG REQ. DEV & MGT,PH0,W,HJX,LGS41100A,HJX,0819H,201101,0.00,2.00,0.00,0.00,0.00,0.00,139.68,0.00,0.00,369.12,0.00,105,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201101,20.69,1.00,20.69,0.00,1099.21,1099.21,72.18,2911.76,2911.76,190.74,0.00,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201102,16.55,0.00,16.55,16.55,879.36,879.36,0.00,2329.40,2329.40,0.00,2420.85,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201103,16.55,0.00,16.55,0.00,879.36,879.36,0.00,2329.40,2329.40,0.00,0.00,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201104,20.69,0.00,20.69,20.69,1099.21,1099.21,0.00,2911.76,2911.76,0.00,2999.49,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201105,15.73,0.00,15.73,-0.01,835.40,835.40,0.00,2212.93,2212.93,0.00,-0.72,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201106,15.73,0.00,15.73,0.00,835.40,835.40,0.00,2212.93,2212.93,0.00,0.00,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201107,0.00,0.00,0.00,0.00,-0.26,-0.26,0.00,-0.68,-0.68,0.00,0.24,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201108,4.00,0.00,4.00,0.00,212.71,212.71,0.00,563.46,563.46,0.00,0.24,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201109,4.00,0.00,4.00,0.00,212.71,212.71,0.00,563.46,563.46,0.00,0.24,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201110,4.00,0.00,4.00,4.00,212.63,212.63,0.00,563.26,563.26,0.00,562.85,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201111,4.00,0.00,4.00,4.00,212.42,212.42,0.00,562.69,562.69,0.00,562.85,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201112,4.00,0.00,4.00,4.00,212.48,212.48,0.00,562.85,562.85,0.00,562.85,126,,L
GSREARC,311-26HJX1,"PH 1A REQ. DEV- LOG BEHAV, REQ ANAL & DEVEL",PH1A,W,HJX,LGS26HJX4,HJX,0819H,201201,4.00,2.00,4.00,4.00,229.36,229.36,146.52,646.27,646.27,412.85,646.27,126,,L
